server_id,server_name,ip_address,mac_address,location,country_code,timezone,os_version,cpu_usage,memory_usage,disk_usage,uptime,last_boot_time,cpu_model,ram_size,disk_size,network_speed,network_interface,server_status,server_type
23,Ms,224.42.0.119,C7-CB-C9-98-D2-78,Wonorejo,ID,Asia/Jakarta,0.18,36.43,84.1,39.31,47,11/21/2022,Rev,63.33,384.86,565.17,Honorable,inactive,web
24,Mrs,142.131.142.120,86-F0-C2-18-C9-F6,Puqian,CN,Asia/Chongqing,1.4.8,35.5,92.55,42.97,48,8/24/2022,Rev,25.83,276.22,462.97,Rev,maintenance,web
25,Honorable,1.177.73.197,CD-4E-45-99-50-28,Łubniany,PL,Europe/Warsaw,7.6.3,13.34,18.6,20.17,5,11/1/2022,Dr,25.87,180.12,406.9,Ms,maintenance,database
26,Mr,68.142.33.19,19-29-AB-79-0E-AD,Belén,PY,America/Asuncion,0.7.2,44.03,17.47,82.9,84,3/16/2022,Rev,38.18,939.66,216.88,Ms,maintenance,application
27,Mrs,59.134.174.213,84-5B-1F-C4-76-14,San Rafael,PH,Asia/Manila,0.78,21.78,94.88,49.76,12,9/11/2022,Ms,44.39,792.05,703.69,Dr,active,web
28,Rev,105.68.110.51,9B-CB-C3-77-9D-BF,Cordon,PH,Asia/Manila,3.5.1,51.76,66.52,44.49,17,6/28/2022,Mr,10.08,159.15,368.04,Dr,active,application
29,Mrs,248.148.102.98,B5-E8-79-BB-C8-B8,El Paso,US,America/Denver,0.5.0,31.41,71.08,61.78,39,7/25/2022,Rev,39.48,912.63,143.96,Mr,maintenance,application
30,Dr,241.182.21.55,7B-30-A3-58-DD-5A,Santo Domingo,PH,Asia/Manila,9.8.1,11.46,95.91,48.86,40,1/19/2022,Mrs,22.88,190.72,823.72,Mrs,maintenance,application
31,Dr,43.165.9.6,6D-9D-72-0D-F7-74,Fengshan,TW,Asia/Taipei,4.0.9,70.91,83.29,24.25,32,3/9/2022,Dr,43.89,320.69,918.28,Dr,active,database
32,Mrs,66.201.20.228,3D-20-5D-4C-83-33,Zhangguanying,CN,Asia/Chongqing,7.2.1,21.12,38.8,62.25,96,1/13/2022,Ms,53.61,103.5,874.92,Mrs,inactive,web
33,Honorable,53.131.0.133,36-12-5B-6C-0F-34,Las Higueras,AR,America/Argentina/Cordoba,7.7,82.63,73.85,15.2,99,2/1/2022,Mrs,9.7,692.96,36.64,Mrs,active,database
34,Rev,195.185.220.179,ED-3C-16-54-A7-B8,Kallithéa,GR,Europe/Athens,0.35,82.5,4.57,6.41,100,11/13/2022,Mrs,61.91,245.83,946,Honorable,inactive,web
35,Mr,21.80.81.212,41-53-FA-66-24-7A,Rudnya,RU,Europe/Volgograd,9.7,58.78,6.87,50.13,6,7/19/2022,Dr,33.43,804.08,443.95,Mr,maintenance,database
36,Mr,78.80.11.156,86-4A-17-AA-F8-73,Vista Alegre,PT,Europe/Lisbon,1.8,51.12,10.04,5.49,60,5/1/2022,Mrs,50.94,683.97,413.67,Rev,inactive,database
37,Honorable,105.18.108.190,4F-AF-F5-14-7C-6E,Chotcza,PL,Europe/Warsaw,2.4,98.39,38.83,99.53,90,8/13/2022,Mrs,38.25,586.98,566.68,Dr,inactive,database
38,Dr,81.44.11.183,86-99-26-CD-59-F1,Muravlenko,RU,Asia/Yekaterinburg,0.4.7,24.31,96.17,90.05,47,11/14/2022,Ms,18.78,712.04,663.36,Rev,inactive,web
39,Mrs,136.115.128.77,49-4C-95-81-F4-4F,Dzuunmod,MN,Asia/Ulaanbaatar,9.23,41.8,64.03,25.1,65,1/18/2022,Dr,22.8,521.9,194.1,Dr,active,application
40,Dr,89.27.249.45,B3-9E-8C-2B-E3-A3,Lewopao,ID,Asia/Makassar,1.09,94.83,61.38,71.37,49,4/30/2022,Mr,18.21,978.95,612.08,Mr,active,web
41,Rev,246.144.247.160,B0-31-63-A9-BE-F2,Nicoya,CR,America/Costa_Rica,3.14,99.67,99.05,78.2,90,1/27/2022,Ms,28.22,586.2,880.78,Mrs,maintenance,application
42,Dr,229.209.49.221,F7-1F-CB-9E-9C-D3,Leigongmiao,CN,Asia/Shanghai,0.7.8,65.14,84.1,38.74,95,8/26/2022,Dr,13.77,336.55,615.05,Mrs,maintenance,application
43,Mr,98.238.99.111,B2-D3-3D-95-11-89,Quanjiang,CN,Asia/Shanghai,0.84,9.46,55.29,9.15,40,10/3/2022,Dr,39.89,173.27,45.67,Ms,active,application
44,Mrs,22.175.158.11,2D-E5-77-10-DF-E5,Nangela,ID,Asia/Jakarta,0.4.4,45.61,32.62,16.37,68,8/6/2022,Dr,44.84,414.18,349.2,Mr,active,application
45,Ms,74.68.92.152,94-F6-48-D1-96-FA,Guayabetal,CO,America/Bogota,7.95,8.93,55.34,81.12,52,11/8/2022,Ms,22.89,161.59,400.83,Honorable,maintenance,application
46,Honorable,54.165.64.72,E7-43-6B-E3-F4-C9,Arvika,SE,Europe/Stockholm,0.8.4,96.26,74.07,43.56,61,1/17/2022,Ms,44.02,119.62,377.88,Mr,maintenance,web
47,Mrs,237.218.1.216,89-2C-49-B8-24-5C,Tianhu,CN,Asia/Shanghai,4.8.2,80.51,25.64,68.46,62,9/7/2022,Rev,1.5,496.42,981.64,Rev,inactive,web
48,Honorable,139.152.142.55,26-65-45-45-E4-1A,Sremski Karlovci,RS,Europe/Belgrade,0.4,8.63,76.82,54.84,88,4/2/2022,Ms,6.73,309.62,40.19,Mrs,inactive,web
49,Mr,193.182.97.253,D1-1E-40-4C-65-11,Tambak,PH,Asia/Manila,1.94,52.11,6.1,32.22,41,12/24/2022,Rev,11.69,758.62,259.89,Mrs,inactive,database
50,Mr,94.165.81.99,69-C6-57-F4-FE-A9,Tucdao,PH,Asia/Manila,5.39,61.95,33.53,52.19,3,1/10/2022,Mr,19.56,531.12,916.12,Honorable,inactive,application
51,Rev,158.2.92.141,BA-A9-FC-EA-6B-25,Wonosobo,ID,Asia/Jakarta,0.75,8.42,42.76,71.17,66,8/30/2022,Ms,54.23,829.39,381.84,Dr,maintenance,database
52,Rev,1.184.172.177,23-8D-39-A3-C7-F5,Karjalohja,FI,Europe/Helsinki,7.9.2,51.78,19.62,24.86,40,7/14/2022,Mrs,17.24,499.45,484.58,Ms,inactive,application
53,Honorable,59.73.48.101,FC-BE-E1-9D-84-2F,Itamaraju,BR,America/Bahia,2,31.92,96.16,45.87,76,11/7/2022,Mr,5.65,624.52,649.2,Mr,inactive,database
54,Ms,143.107.169.235,C2-BB-C7-4D-15-B5,Kedungtulup,ID,Asia/Jakarta,2.4.3,23.39,9.32,94.21,10,10/7/2022,Mr,51.23,224.71,415.81,Ms,active,web
55,Ms,64.108.184.180,B1-4D-3D-EE-D8-80,Limoeiro,BR,America/Recife,4.2.8,22.64,48.75,59.07,43,11/24/2022,Ms,24.43,474.53,551.04,Mrs,maintenance,database
56,Mr,84.58.133.7,57-D3-62-F4-27-D0,Skała,PL,Europe/Warsaw,7.6.7,71.91,36.88,99.58,92,5/29/2022,Dr,32.12,177.88,419.78,Mr,maintenance,application
57,Mr,215.13.62.134,A9-7B-45-D5-C4-57,Shinaihai,CN,Asia/Chongqing,4.3.3,64.74,5.46,29.88,26,11/29/2022,Honorable,50.47,949.23,335.36,Rev,maintenance,web
58,Rev,127.92.62.160,FC-B0-64-29-AF-A7,Francisco J Mujica,MX,America/Mexico_City,7.1,28.75,6.65,67.7,92,6/8/2022,Dr,54.49,886.65,395.62,Ms,inactive,web
59,Mr,61.153.32.232,9B-1D-DC-76-8C-2A,Pailiao,CN,Asia/Chongqing,5.7.3,45.27,59.74,15.1,64,12/28/2022,Mr,44.69,627.28,3.77,Honorable,active,database
60,Mrs,67.120.241.41,C4-7C-7A-E0-0F-64,Marićka,BA,Europe/Sarajevo,9.9,58.76,71.8,19.04,92,5/31/2022,Rev,15.64,842.95,167.71,Honorable,inactive,application
61,Ms,231.81.69.45,1E-67-1D-97-B6-49,Ikeja,NG,Africa/Lagos,0.56,6.92,38.33,74.97,10,7/18/2022,Dr,56.62,742.2,74.7,Ms,maintenance,application
62,Honorable,192.199.84.181,DD-92-98-CA-E1-D0,Lumbac,PH,Asia/Manila,0.6.2,0.59,63,74.23,92,1/31/2022,Dr,29.53,795.47,277.7,Rev,maintenance,database
63,Honorable,152.169.28.101,D1-90-42-62-01-9D,Parada de Todeia,PT,Europe/Lisbon,0.95,31.69,84.74,32.54,85,3/22/2022,Honorable,28.49,786.15,817.56,Ms,maintenance,web
64,Ms,145.228.2.31,CD-B9-BF-1C-1D-74,Tacna,PE,America/Lima,0.8.4,87.31,66.71,13.4,58,10/31/2022,Mr,36.02,745.97,240.14,Mrs,inactive,application
65,Mrs,160.87.62.40,5A-BA-EC-A5-D6-A7,Raszczyce,PL,Europe/Warsaw,0.53,50.67,85.79,86.53,53,9/2/2022,Rev,43.51,299.12,27.3,Dr,inactive,web
66,Ms,142.85.161.165,0A-D6-5B-BC-F6-E5,Vurğun,AZ,Asia/Baku,0.94,49.89,17.66,44.57,40,1/11/2022,Honorable,5.09,645.52,254.82,Dr,active,database
67,Dr,139.72.254.159,F9-5D-66-F2-8D-21,Alejo Ledesma,AR,America/Argentina/Cordoba,0.4.3,21.65,82.44,25.06,91,11/26/2022,Dr,51.3,637.8,239.31,Ms,inactive,database
68,Ms,50.100.164.162,56-96-BF-84-8D-93,Guandukou,CN,Asia/Chongqing,0.5.7,77.44,21.02,70.37,90,10/20/2022,Dr,13.09,114.05,138.31,Mr,active,database
69,Mr,60.32.212.25,2E-5B-6A-47-18-1E,Sant Cugat Del Valles,ES,Europe/Madrid,3.2,50.9,64.98,16.24,63,10/10/2022,Honorable,45.02,811.55,758.41,Honorable,inactive,database
70,Ms,252.222.198.29,60-8F-03-C8-74-B6,Numan,NG,Africa/Lagos,0.9.8,93.29,28.66,51.28,43,2/9/2022,Mr,37.02,101.05,726.93,Rev,inactive,application
71,Mrs,161.124.127.14,AD-FD-6D-E9-3C-FD,Shiyun,CN,Asia/Chongqing,8.1,51.1,40.8,87.05,56,9/24/2022,Ms,22.09,867.05,579.53,Dr,maintenance,web
72,Dr,9.54.113.222,97-B4-9A-8B-AC-41,Seto,JP,Asia/Tokyo,0.83,36.53,86.13,9.36,41,7/22/2022,Rev,28.59,517.04,199.2,Honorable,active,database
73,Dr,96.253.177.195,40-9D-6A-E5-CC-A0,Wugong,CN,Asia/Chongqing,4.55,60.94,28.1,23.24,94,1/16/2022,Honorable,34.7,453.87,262.03,Mr,active,application
74,Dr,36.223.236.116,28-92-48-81-5F-5C,Sarajevo,BA,Europe/Sarajevo,4.64,42.5,73.82,97.7,45,4/23/2022,Mrs,1.73,536.96,293.86,Honorable,active,web
75,Dr,153.129.47.1,1D-B5-F1-0B-D4-2C,Santos Evos,PT,Europe/Lisbon,1.2,29.53,3.06,19.73,97,2/15/2022,Rev,44.59,448.17,266.77,Honorable,maintenance,application
76,Rev,45.211.69.147,0A-D0-5E-F8-2E-26,Vyshhorod,UA,Europe/Kiev,5.7,95.62,75.25,58.43,99,7/4/2022,Dr,21.44,829.68,144.36,Mrs,maintenance,web
77,Honorable,133.19.65.226,EF-13-52-C4-9E-5E,Los Andes,CL,America/Santiago,0.45,74.46,78.95,56.17,100,7/31/2022,Ms,27.7,787.38,96.28,Rev,maintenance,web
78,Mr,118.60.240.198,37-DD-41-C8-C5-08,Leduc,CA,America/Edmonton,4.1.7,67.24,82.34,31.15,30,1/16/2022,Mr,10.71,544.43,426.88,Rev,maintenance,application
79,Honorable,70.100.236.81,64-F3-FA-F9-72-AD,Langensari,ID,Asia/Jakarta,3.8,60.72,70.42,99.88,63,12/21/2022,Honorable,42.59,71.05,250.41,Rev,active,web
80,Mr,216.118.184.99,76-B1-4A-D9-16-44,Tīkāpur,NP,Asia/Kathmandu,0.73,18.48,52.94,12.94,25,11/16/2022,Mrs,27.59,663.2,946.32,Rev,maintenance,database
81,Mr,120.91.58.214,47-56-F2-43-30-52,Sundbyberg,SE,Europe/Stockholm,0.8,79.92,17.47,80.11,55,10/6/2022,Honorable,55.93,356.29,890.04,Honorable,active,application
82,Mr,61.238.255.187,92-3A-29-BA-77-42,Karlivka,UA,Europe/Zaporozhye,7.3,69.44,17.95,67.67,81,5/24/2022,Mr,20.9,723.76,394.34,Honorable,inactive,web
83,Mrs,2.231.231.252,4F-26-9C-15-9C-9E,Jiabei,CN,Asia/Shanghai,8.1.7,23.09,60.47,84.19,71,1/10/2022,Honorable,53.45,344.92,986.04,Mrs,active,application
84,Mr,244.61.222.28,63-C6-FB-AC-42-96,Kuala Lumpur,MY,Asia/Kuala_Lumpur,9.4,82.61,72.35,35.48,79,11/17/2022,Mrs,3.91,285.33,952.69,Dr,active,application
85,Ms,34.161.255.202,B2-9C-29-8C-A5-7D,La Tebaida,CO,America/Bogota,0.7.1,48.75,47.14,98.57,45,10/5/2022,Mr,29.85,560.31,644.29,Ms,maintenance,web
86,Dr,123.51.204.238,5E-A6-1B-0B-42-03,Talabaan,PH,Asia/Manila,0.3.2,90.74,53.42,99.29,11,7/26/2022,Dr,17.85,200.86,917.3,Ms,inactive,application
87,Honorable,163.62.90.64,BA-72-6F-00-97-D8,Topola,RS,Europe/Belgrade,9.2,43.66,86.9,6.1,79,6/10/2022,Mrs,32.41,639.98,466.62,Mrs,maintenance,web
88,Ms,115.207.251.4,55-8E-35-15-D9-A3,Tuanlin,CN,Asia/Shanghai,3.6.4,58.5,19.12,37.26,20,8/27/2022,Dr,51.34,635.95,160.88,Ms,inactive,web
89,Mr,163.12.236.144,8B-9F-63-19-70-2E,Paderne,PT,Europe/Lisbon,9.6,75.61,14.75,74.59,44,1/29/2022,Honorable,27.94,607.84,771.14,Ms,active,application
90,Honorable,79.107.249.81,36-92-0E-6D-06-4C,Cergy-Pontoise,FR,Europe/Paris,0.7.1,78.82,7.93,37.93,45,8/26/2022,Mr,29.62,414.83,22.51,Ms,active,database
91,Rev,103.124.55.220,79-8E-24-12-77-3D,Pasirnangka,ID,Asia/Jakarta,3.5,94.6,96.32,87.81,67,9/25/2022,Rev,44.18,924.88,839.97,Mrs,active,application
92,Rev,62.174.252.156,80-34-B3-A2-19-2B,Nyala,SD,Africa/Khartoum,6.4.1,14.53,13,2.85,6,12/29/2022,Rev,8.22,813.81,749.6,Rev,maintenance,web
93,Mr,188.89.174.3,D9-F9-22-26-05-24,Doropayung,ID,Asia/Jakarta,0.9.3,21.97,20.53,72.3,48,10/4/2022,Mrs,62.34,177.07,355.13,Mr,active,application
94,Rev,56.168.74.88,78-AC-7D-03-9A-14,San Luis,CU,America/Havana,6.8.5,58.27,93.9,34.35,46,2/22/2022,Honorable,55.21,739.15,584.5,Ms,maintenance,application
95,Honorable,9.15.23.91,71-BF-E2-FC-2C-0D,Ipoh,MY,Asia/Kuala_Lumpur,0.4.9,73.45,90.86,63.47,59,2/21/2022,Rev,46.03,897.48,399.33,Honorable,active,database
96,Dr,34.112.90.164,2D-B6-C0-F0-1C-EC,Licheń Stary,PL,Europe/Warsaw,0.3.3,93.39,40.64,60.2,63,3/19/2022,Rev,31.28,391.25,62.96,Mr,active,web
97,Dr,118.179.139.251,68-43-63-FA-C7-BD,El Dividive,VE,America/Caracas,9.7,51.27,45.7,79.38,36,7/7/2022,Dr,34.24,113.28,592.69,Mr,maintenance,web
98,Mr,103.4.3.63,C1-55-0D-0F-D6-7A,Ylämaa,FI,Europe/Helsinki,5.37,88.31,83.77,1.84,81,12/27/2022,Dr,37,391.81,700.62,Rev,inactive,application
99,Rev,14.240.94.115,90-33-3C-16-AB-AD,Daqin Tal,CN,Asia/Harbin,5.3.1,76.08,18.76,3.79,4,6/22/2022,Mrs,52.21,536.75,467.51,Mrs,maintenance,web
100,Mrs,42.53.252.143,CA-95-98-63-A6-D6,Jeffrey’s Bay,ZA,Africa/Johannesburg,6.3.6,6.31,21.31,62.69,47,12/14/2022,Dr,53.55,59.82,855.17,Ms,inactive,web
101,Honorable,31.70.149.205,D9-2F-5C-2B-16-4A,Krajan Bakalan,ID,Asia/Jakarta,1.5,90.29,79.91,18.44,22,8/3/2022,Mrs,55.93,582.88,428.9,Mr,inactive,application
102,Honorable,178.111.188.223,31-A3-28-1B-B3-98,Pleasant Point,NZ,Pacific/Auckland,0.1.3,39.39,21.04,98.32,37,6/5/2022,Honorable,42.86,481.29,213.3,Ms,inactive,web
103,Mrs,2.168.98.184,3B-E4-A3-AB-04-71,Mantang,PH,Asia/Manila,0.54,90.34,56.04,26.72,22,8/8/2022,Mr,3.62,399.95,275.95,Dr,inactive,database
104,Honorable,225.14.69.228,B3-5C-4E-CE-6C-44,Shangying,CN,Asia/Shanghai,4.45,70.63,68.74,54.83,78,7/16/2022,Honorable,45.32,642.33,578.17,Mr,inactive,web
105,Honorable,221.168.45.51,D2-42-05-E4-54-2A,Shahrud,IR,Asia/Tehran,0.6.7,73.07,51.74,68.09,98,12/5/2022,Mrs,56.17,606.69,977.64,Mr,active,web
106,Rev,90.5.30.94,F2-73-C0-97-95-D4,Kamieniec Podolski,UA,Europe/Uzhgorod,8.43,73.32,52.11,18.93,85,2/24/2022,Mr,3.86,313.16,419.7,Ms,inactive,application
107,Honorable,116.213.52.80,34-40-D0-0D-82-D9,Cipari,ID,Asia/Jakarta,8.8.9,79.65,38.47,83.29,8,7/15/2022,Ms,43.04,656.82,937.63,Mr,maintenance,web
108,Mrs,145.130.34.177,BF-93-1E-5B-18-30,Biny Selo,AZ,Asia/Baku,0.4.8,39.92,73.81,38.43,80,10/4/2022,Rev,24.57,327.39,433.33,Dr,maintenance,web
109,Mr,107.66.135.56,70-A6-27-76-2C-FE,Libu,CN,Asia/Chongqing,0.5.1,61.65,66.97,21,33,9/3/2022,Mrs,51.89,612.15,844.97,Dr,active,web
110,Dr,71.179.201.167,14-21-48-69-B9-F7,Bishan,CN,Asia/Shanghai,0.5.4,82.26,86.34,5.16,65,12/26/2022,Dr,3.15,946.87,864.01,Mr,inactive,database
111,Mr,207.5.195.143,14-A5-B5-C3-67-96,Kiamba,PH,Asia/Manila,4.2,9.29,63.97,83.15,14,10/26/2022,Mrs,5.6,602.28,340.42,Ms,maintenance,application
112,Dr,108.108.135.76,50-FA-03-DA-6E-88,Vermelha,PT,Europe/Lisbon,0.4.9,27.58,67.97,38.79,7,2/27/2022,Mr,63.72,425.53,401.8,Honorable,maintenance,application
113,Ms,96.112.190.121,9A-39-C5-0D-3D-A4,Masoli,PH,Asia/Manila,8.3,80.52,52.11,32.03,40,6/27/2022,Mrs,47.8,574.43,274.92,Dr,inactive,database
114,Mr,233.137.108.40,81-04-FD-3F-13-17,Krajan Dua Dawuan Wetan,ID,Asia/Jakarta,0.49,26.53,43.14,23.41,28,11/22/2022,Mr,30.61,595.87,994.9,Mrs,maintenance,database
115,Honorable,149.202.68.33,C8-4B-D9-19-1B-DF,Rayong,TH,Asia/Bangkok,0.8.5,51,71.19,22.9,62,5/26/2022,Honorable,53.05,642.57,271.7,Honorable,maintenance,web
116,Dr,62.90.174.228,7F-D7-B1-15-E1-20,Vose’,TJ,Asia/Dushanbe,6.86,73.94,23.98,52.73,97,3/20/2022,Rev,6.03,15.09,711.55,Mrs,inactive,web
117,Mr,91.19.197.189,FC-08-01-43-D0-77,Castanheira do Campo,PT,Europe/Lisbon,0.1,56.48,45.39,73.7,46,5/11/2022,Rev,25.52,378.63,137.97,Mr,maintenance,database
118,Mr,6.104.206.184,1F-4A-A5-3B-38-F9,Kidodi,TZ,Africa/Dar_es_Salaam,3.08,81.69,71.37,5.15,5,1/23/2022,Mr,8,705.7,229.56,Rev,inactive,database
119,Mrs,127.21.92.205,DB-B8-E4-3D-45-EF,Niaojin,CN,Asia/Shanghai,0.7.2,83.77,84.63,75.3,52,8/5/2022,Rev,47.74,586.37,678.84,Mr,active,database
120,Honorable,12.72.45.182,78-2A-25-F4-A4-96,Sambiyan,ID,Asia/Jakarta,5.9.9,22.65,31.59,6.44,92,5/8/2022,Honorable,49.27,453.97,75.88,Rev,active,web
121,Rev,80.37.81.33,FF-57-DC-85-06-00,Strasbourg,FR,Europe/Paris,0.1.6,23.01,20.43,23.25,27,11/25/2022,Mr,60.59,393.78,546.85,Mr,active,web
122,Rev,231.157.145.28,88-1E-6C-8D-79-4B,Jiang’an,CN,Asia/Shanghai,5.8.8,59.62,17.11,59,60,6/30/2022,Ms,26.7,94.73,978.54,Honorable,inactive,web
123,Mr,241.1.94.31,D2-AC-0B-9C-E5-4A,Pinggang,CN,Asia/Chongqing,5.94,98.54,1.03,81.01,71,1/12/2022,Dr,30.48,127.03,864.67,Ms,active,application
124,Mrs,222.113.29.1,12-72-F7-0C-88-F5,Cartagena del Chairá,CO,America/Bogota,5.6.8,56.97,33.88,10.67,66,4/13/2022,Ms,57.92,324.21,378.45,Mr,inactive,application
125,Rev,198.47.186.203,79-66-60-3C-47-7C,Jiangxigou,CN,Asia/Chongqing,8.5.7,25.54,86.21,59.38,25,11/7/2022,Rev,12.75,503.04,891.5,Dr,maintenance,web
126,Honorable,80.224.171.198,E6-EC-87-5F-D3-85,Paris 12,FR,Europe/Paris,7.2,75.11,48.5,58.79,89,4/25/2022,Honorable,14.56,984.14,368.98,Ms,active,web
127,Ms,11.31.92.67,7F-8F-86-12-45-90,Lille,FR,Europe/Paris,0.21,26.46,9.91,4.99,11,11/19/2022,Mrs,41.84,557.03,773.46,Rev,inactive,web
128,Ms,212.205.103.131,96-7E-C1-CB-90-6B,Sobotín,CZ,Europe/Prague,4.96,50.83,72.69,95.45,94,3/10/2022,Mr,34.7,360.36,952.28,Mrs,maintenance,database
129,Ms,217.86.68.74,BA-8A-45-E1-DD-1A,Jingxiyuan,CN,Asia/Shanghai,2.1.6,75.96,76.42,2.99,26,12/24/2022,Dr,56.28,470.39,829.37,Mr,maintenance,web
130,Honorable,30.177.96.52,08-1F-7A-13-98-80,Lichinga,MZ,Africa/Maputo,3.95,0.91,96.32,85.74,30,4/13/2022,Rev,34.53,907.85,983.48,Honorable,active,web
131,Ms,76.193.48.93,68-63-C7-15-1A-5D,Eira da Pedra,PT,Europe/Lisbon,0.9.8,6.55,5.14,76.73,29,3/30/2022,Rev,49.09,958.83,975.48,Rev,active,web
132,Honorable,181.105.197.30,4F-BD-5D-73-F0-5F,Bandar-e Torkaman,IR,Asia/Tehran,9.4.2,68.61,55.39,91.54,84,10/19/2022,Ms,13.93,826.44,389.98,Dr,active,database
133,Honorable,94.26.34.159,F0-3E-33-84-4F-66,Senador Pompeu,BR,America/Fortaleza,5.1,89.91,27.44,23.58,99,10/28/2022,Honorable,57.15,638.93,685.42,Dr,active,web
134,Rev,251.184.201.8,3D-21-3D-6E-57-1F,Druju,ID,Asia/Jakarta,0.53,55.2,71.94,10.14,81,10/21/2022,Mr,4.03,300.55,803.49,Mrs,active,application
135,Ms,148.77.145.219,59-C0-6F-8F-DE-57,Punta Gorda,BZ,America/Guatemala,5.61,5.19,80.89,41.39,20,7/4/2022,Mrs,52.14,266.73,256.79,Dr,maintenance,database
136,Mr,134.17.208.117,C1-83-43-B1-4F-C2,Shu,KZ,Asia/Almaty,0.7.6,57.14,83.66,80.72,14,12/7/2022,Dr,7.92,478.35,303.59,Mr,maintenance,application
